/begin_header
/original_file_name=IYS2022_HPLC_Zone5-Franklin.txt
/cruise=The IYS 2022 Pan-Pacific Winter High Seas Expedition
/vessel=r/v Sir John Franklin
/data_type=pigment
/data_status=final
/contact=Maycira Costa (maycira@uvic.ca)
/investigators=Maycira Costa, Marta Konik, Jackie King, Cameron Freshwater, Chelsea Stanley, Cynthia Wright
/affiliations=The University of Victoria (UVIC), UVIC, Fisheries and Oceans Canada (DFO), DFO, DFO, DFO 
/start_date[YYYY-MM-DD]=2022-02-22
/end_date[YYYY-MM-DD]=2022-03-19
/north_latitude=57.0110
/south_latitude=46.0883
/east_longitude=-132.1088
/west_longitude=-144.0748
/HPLC_lab=South Carolina Algal Ecology Laboratory, Belle Baruch Marine Institute (University of South Carolina)
/data_use_warning=low-chlorophyll zone
/delimiter=comma
/missing=-999
/below_detection_limit=0
!
! This is a publicly available data set published under the Creative Commons Attribution License.
! Funded by the ""British Columbia Salmon Restoration and Innovation Fund""
! Created on June 30th,2022, and compiled by the University of Victoria Spectral Lab.
! Please contact the Data Owner with questions (Maycira Costa: maycira@uvic.ca).
!
! Data were contributed by participants in the Internatonal Year of Salmon. A cruise name, zone, and vessel are provided.
!
! Related article:
! Konik, M., Peña, M.A. Hirawake, T., Hunt, B.P.V., Vishnu, P.S., Eisner, L.B., Bracher, A., Xi, H., Marchese, C., Costa, M. (2024). Bioregionalization of the subarctic Pacific based on phytoplankton phenology and composition. Progress in Oceanography, 228, 103315, https://doi.org/10.1016/j.pocean.2024.103315.
! 
! HPLC-related protocols:
! Pinkney J., (2010). The USC method [In:] Hooker S.B., Thomas C.S., Van Heukelem L., Schlüter L., Russ M.E., Ras J., Claustre H., Clementson L., Canuti E., Berthon J-F., Perl J., Normandeau C. Cullen J., Kienast M., Pinckney J.L. The Fourth SeaWiFS HPLC Analysis Round-Robin Experiment (SeaHARRE-4). NASA/TM–2010–215857. National Aeronautics and Space Administration, Goddard Space Flight Center, Greenbelt, Maryland, Chapter 11.
!
! alphabetical description of HPLC data products (all units mg m-3)
! -----------------------------------------------------------------
! allo           ~ alloxanthin
! all_chla       ~ ALL chlorophyll a == dv_chl_a + chl_a + chlide_a + allomers + epimers
! beta_car       ~ beta-carotene
! alpha_car      ~ alpha-carotene
! anther         ~ antheraxanthin
! but_fuco       ~ 19'-butanoyloxyfucoxanthin
! chl_a          ~ monovinyl chlorophyll a
! chl_b          ~ chlorophyll b
! chl_c1c2       ~ chlorophyll c1 + chlorophyll c2
! chl_c3         ~ chlorophyll c3
! chlide_a       ~ chlorophyllide a
! but_fuco       ~ 19' butanoyloxyfucoxanthin
! diadino        ~ diadinoxanthin
! diato          ~ diatoxanthin
! dv_chl_a       ~ divinyl chlorophyll a
! fuco           ~ fucoxanthing
! gyro           ~ gyroxanthin-diester
! hex_fuco       ~ 19'-hexanoyloxyfucoxanthin
! lut            ~ lutein
! neo            ~ 9'cis-neoxanthin
! perid          ~ peridinin
! prasino        ~ prasinoxanthin
! tot_chla       ~ total chlorophyll a == chl_a  + dv_chl_a + chlide_a
! viola          ~ violaxanthin
! zea            ~ zeaxanthin
!
! dates and times are UTC
! negative latitudes are south of the Equator
! negative longitudes are west of the Prime Meridian
! pigments below detection level = 0
! quality flags: 1 – good, 2 – suspicious, 3 – need careful consideration
!
/fields=cruise,zone_nr,vessel,sample_id,year,month,day,hour,minute,second,lat,lon,depth,anther,allo,alpha-car,beta-car,but-fuco,chl_a,chl_b,chl_c1c2,chl_c3,chlide_a,diadino,diato,dv_chl_a,fuco,gyro,hex-fuco,lut,neo,perid,pras,viola,zea,tot_chla,all_chla,flag
/units=-,-,-,-,yyyy,mm,dd,hh,mm,ss,DD,DD,m,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,-
/end_header
2022-002-IYS,5,CCGS Sir John Franklin,50-135,2022,2,22,19,34,0,50.0225,-135.0043,5,0.005,0.004,0,0.008,0.08,0.408,0.027,0.045,0.029,0,0.025,0.009,0,0.113,0,0.193,0.011,0.008,0.01,0,0.006,0.005,0.408,0.484,3
2022-002-IYS,5,CCGS Sir John Franklin,49-135,2022,2,23,4,30,0,49.0472,-134.9988,5,0.004,0.003,0,0.007,0.042,0.295,0.042,0.025,0.018,0,0.018,0.005,0,0.051,0,0.162,0.012,0.007,0.007,0.006,0.008,0.01,0.295,0.339,1
2022-002-IYS,5,CCGS Sir John Franklin,48-135,2022,2,23,14,31,0,48.0455,-135.0068,5,0.004,0.003,0,0.008,0.06,0.276,0.028,0.024,0.018,0,0.023,0.008,0,0.047,0,0.188,0.008,0,0.007,0.006,0.009,0.007,0.276,0.313,3
2022-002-IYS,5,CCGS Sir John Franklin,47-135,2022,2,23,23,1,26,47.0555,-134.9905,5,0.006,0,0,0.008,0.052,0.239,0.028,0.02,0.017,0,0.025,0.013,0,0.041,0,0.17,0.009,0.007,0.006,0.005,0.005,0.007,0.239,0.271,3
2022-002-IYS,5,CCGS Sir John Franklin,47-138,2022,2,24,14,0,0,46.9375,-137.971,5,0.005,0.001,0,0.009,0.057,0.286,0.025,0.023,0.019,0,0.028,0.01,0,0.045,0,0.215,0.01,0,0.01,0,0.006,0.007,0.286,0.328,3
2022-002-IYS,5,CCGS Sir John Franklin,48-138,2022,2,24,22,46,0,47.9377,-137.988,5,0.008,0.005,0,0.011,0.082,0.346,0.03,0.035,0.022,0,0.038,0.012,0,0.061,0,0.226,0.009,0.007,0.009,0,0.006,0.01,0.346,0.394,3
2022-002-IYS,5,CCGS Sir John Franklin,49-138,2022,2,26,16,51,11,48.926,-137.941,5,0.006,0.004,0,0.01,0.08,0.342,0.024,0.033,0.022,0,0.03,0.011,0,0.065,0,0.212,0.007,0.005,0.008,0,0.005,0.008,0.342,0.389,3
2022-002-IYS,5,CCGS Sir John Franklin,50-138,2022,2,27,2,4,50,49.9922,-137.9325,5,0.008,0.007,0,0.011,0.092,0.341,0.027,0.038,0.022,0,0.039,0.011,0,0.07,0,0.184,0.007,0.009,0.012,0.009,0.01,0.008,0.341,0.386,3
2022-002-IYS,5,CCGS Sir John Franklin,50-141,2022,2,27,17,39,0,50.0917,-141.0135,5,0.007,0.004,0,0.01,0.079,0.33,0.025,0.035,0.023,0,0.03,0.011,0,0.073,0,0.187,0.007,0.008,0.012,0.007,0.009,0.008,0.33,0.375,3
2022-002-IYS,5,CCGS Sir John Franklin,49-141,2022,2,28,2,13,17,49.0783,-141.0153,5,0.009,0.005,0,0.01,0.082,0.332,0.024,0.035,0.022,0,0.044,0.012,0,0.07,0,0.227,0.01,0.009,0.009,0,0.012,0.011,0.332,0.377,3
2022-002-IYS,5,CCGS Sir John Franklin,48-141,2022,2,28,16,49,30,48.093,-140.9658,5,0.007,0,0,0.011,0.078,0.347,0.024,0.036,0.026,0,0.038,0.012,0,0.063,0,0.271,0.01,0.008,0.01,0,0.014,0.013,0.347,0.395,3
2022-002-IYS,5,CCGS Sir John Franklin,46-144,2022,3,1,17,33,9,46.0883,-144.0113,5,0.006,0,0,0.011,0.081,0.383,0.028,0.039,0.03,0,0.037,0.013,0,0.089,0,0.276,0.012,0,0.018,0,0.009,0.007,0.383,0.436,3
2022-002-IYS,5,CCGS Sir John Franklin,47-144,2022,3,2,5,3,51,46.937,-144.0343,5,0.005,0,0,0.009,0.06,0.333,0.023,0.034,0.027,0,0.037,0.011,0,0.086,0,0.241,0.009,0,0.016,0,0.004,0.007,0.333,0.381,3
2022-002-IYS,5,CCGS Sir John Franklin,48-144,2022,3,2,16,48,18,47.909,-143.9855,5,0.007,0.004,0,0.011,0.063,0.322,0.027,0.032,0.025,0,0.03,0.009,0,0.072,0,0.225,0.009,0,0.01,0,0.006,0.012,0.322,0.372,3
