/begin_header
/original_file_name=IYS2022_PFT.txt
/cruise=The IYS 2022 Pan-Pacific Winter High Seas Expedition
/data_type=phytoplankton functional type
/data_status=final
/contact=Maycira Costa (maycira@uvic.ca)
/investigators=Maycira Costa, Marta Konik, Angelica M. Peña
/affiliations=The University of Victoria (UVIC), UVIC, Fisheries and Oceans Canada (DFO)
/start_date[YYYY-MM-DD]=2022-02-22
/end_date[YYYY-MM-DD]=2022-03-20
/north_latitude=58.0038
/south_latitude=45.0000
/east_longitude=-132.1088
/west_longitude=-172.3650
/data_use_warning=low-chlorophyll zone
/delimiter=comma
/missing=-999
/below_detection_limit=0
!
! This is a publicly available data set published under the Creative Commons Attribution License
! Funded by the ""British Columbia Salmon Restoration and Innovation Fund"""
! Created on June 30th, 2022, and compiled by the University of Victoria Spectral Lab
! Please contact the Data Owner with questions (Maycira Costa: maycira@uvic.ca)
!
! Data were contributed by participants in the Internatonal Year of Salmon. A cruise name, zone, and vessel_id are provided.
! Contribution of chlorophyll a by each of the phytoplankton groups was determined using the CHEMTAX model
! 
! alphabetical description of the PFT data products (all units mg m-3)
! -----------------------------------------------------------------
!
! Chl_chlorophytes	~ total chlorophyll a part contributed by chlorophytes
! Chl_cyanobacteria	~ total chlorophyll a part contributed by cyanobacteria
! Chl_cryptophytes	~ total chlorophyll a part contributed by cryptophytes
! Chl_diatoms		~ total chlorophyll a part contributed by diatoms
! Chl_dinoflagellates	~ total chlorophyll a part contributed by dinoflagellates
! Chl_haptophytes	~ total chlorophyll a part contributed by haptophytes
! Chl_pelagophytes	~ total chlorophyll a part contributed by pelagophytes
! Chl_prasinophytes	~ total chlorophyll a part contributed by prasinophytes
! Tchl 		~ total chlorophyll a obtained from the HPLC measurements
!
! Details of the PFT derivation are available in:
! Konik, M., Peña, M.A. Hirawake, T., Hunt, B.P.V., Vishnu, P.S., Eisner, L.B., Bracher, A., Xi, H., Marchese, C., Costa, M. (2024). Bioregionalization of the subarctic Pacific based on phytoplankton phenology and composition. Progress in Oceanography,228,103315, https://doi.org/10.1016/j.pocean.2024.103315.
! -----------------------------------------------------------------
! dates and times are UTC,
! negative latitudes are south of the Equator
! negative longitudes are west of the Prime Meridian
! below detection level = 0
! quality flags: 1 – good, 2 – suspicious, 3 – need careful consideration
!
/fields=Id,Cruise,Station,Vessel_id,DateTime(UTC),Longitude [degrees_east],Latitude [degrees_north],Depth[m],Tchla,Chl_cyanobacteria,Chl_chlorophytes,Chl_prasinophytes,Chl_cryptophytes,Chl_diatoms,Chl_dinoflagellates,Chl_haptophytes,Chl_pelagophytes,Qflag
/units=-,-,-,-,yyyy-mm-ddThh:mm:ss,DD,DD,m,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,mg^m3,-
/end_header
1,IYS_2022,T1,TINRO,2022-03-02T02:58:00,-172.365,48.628,5,0.245,0.0017,0,0.047,0.0096,0.0212,0.0146,0.1104,0.0405,1
2,IYS_2022,T2,TINRO,2022-03-02T14:10:00,-171.155,47.91,5,0.294,0.0032,0,0.0505,0.0102,0.026,0.0132,0.1302,0.0606,3
3,IYS_2022,T3,TINRO,2022-03-02T00:31:00,-169.472,47.885,5,0.263,0.0074,0.0034,0.0128,0.0075,0.0499,0.0003,0.1379,0.0439,3
4,IYS_2022,T4,TINRO,2022-03-04T05:12:00,-170.247,47.122,5,0.252,0.0065,0,0.0383,0.0122,0.0209,0.0064,0.1178,0.05,3
5,IYS_2022,T5,TINRO,2022-03-04T15:38:00,-169.408,46.286,5,0.215,0.0084,0,0.0538,0.0117,0.0041,0.0041,0.0961,0.0369,1
6,IYS_2022,T6,TINRO,2022-03-05T00:41:00,-168.528,45.492,5,0.127,0.0135,0,0.0315,0.01,0,0.0001,0.0546,0.0172,2
7,IYS_2022,T7,TINRO,2022-03-05T08:45:00,-167.169,45.384,5,0.174,0.0209,0,0.0325,0.0163,0,0,0.0846,0.0197,2
8,IYS_2022,T8,TINRO,2022-03-05T17:39:00,-167.207,46.398,5,0.18,0.0199,0,0.0283,0.0123,0,0.0001,0.0975,0.022,1
9,IYS_2022,T9,TINRO,2022-03-06T03:30:00,-167.258,47.503,5,0.323,0.0086,0,0.0536,0.0119,0.0299,0.0124,0.1429,0.0637,3
10,IYS_2022,T10,TINRO,2022-03-06T12:15:00,-167.258,48.539,5,0.343,0.0079,0,0.0516,0.0099,0.0346,0.0171,0.15,0.0718,3
11,IYS_2022,T11,TINRO,2022-03-07T22:34:00,-169.03,49.048,5,0.305,0.0081,0,0.0386,0.0127,0.0387,0.0132,0.1339,0.0598,3
12,IYS_2022,T12,TINRO,2022-03-07T11:15:00,-167.317,49.535,5,0.382,0.0234,0.0021,0.1454,0.0363,0.0718,0.0049,0.0583,0.0399,1
13,IYS_2022,T13,TINRO,2022-03-08T02:05:00,-165.137,50.077,5,0.276,0.0033,0.009,0.0394,0.0141,0.057,0.0005,0.1123,0.0403,1
14,IYS_2022,T14,TINRO,2022-03-08T15:13:00,-163.028,50.558,5,0.252,0.0065,0.0134,0.0404,0.0107,0.0182,0.0071,0.1174,0.0384,1
15,IYS_2022,T15,TINRO,2022-03-09T02:50:00,-160.948,50.888,5,0.338,0.0305,0.0055,0.1648,0.0349,0.0071,0.0106,0.048,0.0366,1
16,IYS_2022,T16,TINRO,2022-03-09T17:52:00,-158.377,51.297,5,0.526,0.0237,0,0.2647,0.065,0.0616,0.0234,0.043,0.0446,1
17,IYS_2022,T17,TINRO,2022-03-09T07:40:00,-156.036,51.876,5,0.433,0.0184,0,0.2429,0.0466,0.0311,0.0231,0.0333,0.0376,3
18,IYS_2022,T18,TINRO,2022-03-10T01:59:00,-156.103,50.87,5,0.379,0.0369,0.0139,0.1302,0.0286,0.0054,0.0181,0.0975,0.0482,1
19,IYS_2022,T19,TINRO,2022-03-10T17:42:00,-156.007,49.883,5,0.285,0.011,0,0.0576,0.0146,0.0124,0.0148,0.1348,0.0399,3
20,IYS_2022,T20,TINRO,2022-03-11T05:04:00,-155.657,48.82,5,0.337,0.0093,0,0.0572,0.0093,0.0123,0.0162,0.1778,0.0548,3
